module,type,name,res_id,src,value,comments
account,code,addons/account/static/src/xml/account_reconciliation.xml,141,Account,,openerp-web
account,code,addons/account/static/src/xml/account_reconciliation.xml,270,Account,,openerp-web
account,model,"ir.model,name",account.model_account_account,Account,,
account,model,"ir.model.fields,field_description",account.field_account_invoice_account_id,Account,,
account,model,"ir.model.fields,field_description",account.field_account_invoice_line_account_id,Account,,
account,model,"ir.model.fields,field_description",account.field_account_invoice_report_account_id,Account,,
account,model,"ir.model.fields,field_description",account.field_account_move_dummy_account_id,Account,,
account,model,"ir.model.fields,field_description",account.field_account_move_line_account_id,Account,,
account,model,"ir.model.fields,field_description",account.field_account_reconcile_model_account_id,Account,,
account,model,"ir.model.fields,field_description",account.field_account_reconcile_model_template_account_id,Account,,
account,model,"ir.ui.view,arch_db",account.report_journal,Account,,
account,model,"ir.ui.view,arch_db",account.report_partnerledger,Account,,
account,model,"ir.ui.view,arch_db",account.report_trialbalance,Account,,
account,model,"ir.ui.view,arch_db",account.view_account_form,Account,,
account,model,"ir.ui.view,arch_db",account.view_account_move_line_filter,Account,,
account,model,"ir.ui.view,arch_db",account.view_account_reconcile_model_form,Account,,
account,model,"ir.ui.view,arch_db",account.view_account_search,Account,,
account,model,"ir.model,name",account.model_account_aged_trial_balance,Account Aged Trial balance Report,,
account,model,"ir.ui.view,arch_db",account.account_planner,Account Balances,,
account,model,"ir.model,name",account.model_account_bank_statement_cashbox,Account Bank Statement Cashbox Details,,
account,model,"ir.model,name",account.model_account_bank_statement_closebalance,Account Bank Statement closing balance,,
account,model,"ir.model,name",account.model_account_common_account_report,Account Common Account Report,,
account,model,"ir.model,name",account.model_account_common_journal_report,Account Common Journal Report,,
account,model,"ir.model,name",account.model_account_common_partner_report,Account Common Partner Report,,
account,model,"ir.model,name",account.model_account_common_report,Account Common Report,,
account,model,"ir.model.fields,field_description",account.field_account_account_currency_id,Account Currency,,
account,model,"ir.model.fields,field_description",account.field_account_account_template_currency_id,Account Currency,,
account,model,"ir.model.fields,field_description",account.field_account_bank_accounts_wizard_currency_id,Account Currency,,
account,model,"ir.model.fields,field_description",account.field_account_fiscal_position_account_template_account_dest_id,Account Destination,,
account,model,"ir.model,name",account.model_account_move,Account Entry,,
account,model,"ir.ui.view,arch_db",account.view_move_form,Account Entry,,
account,model,"ir.model.fields,field_description",account.field_res_partner_bank_journal_id,Account Journal,,
account,model,"ir.ui.view,arch_db",account.view_account_bank_journal_tree,Account Journal,,
account,model,"ir.ui.view,arch_db",account.view_account_journal_form,Account Journal,,
account,model,"ir.ui.view,arch_db",account.view_account_journal_tree,Account Journal,,
account,model,"ir.model.fields,field_description",account.field_account_invoice_report_account_line_id,Account Line,,
account,model,"ir.model.fields,field_description",account.field_account_fiscal_position_account_ids,Account Mapping,,
account,model,"ir.model.fields,field_description",account.field_account_fiscal_position_template_account_ids,Account Mapping,,
account,model,"ir.ui.view,arch_db",account.view_account_position_form,Account Mapping,,
account,model,"ir.ui.view,arch_db",account.view_account_move_reversal,Account Move Reversal,,
account,model,"ir.model.fields,field_description",account.field_account_bank_accounts_wizard_acc_name,Account Name.,,
account,model,"ir.model.fields,field_description",account.field_account_journal_bank_acc_number,Account Number,,
account,model,"ir.model,name",account.model_account_report_partner_ledger,Account Partner Ledger,,
account,model,"ir.model.fields,field_description",account.field_res_partner_property_account_payable_id,Account Payable,,
account,model,"ir.model.fields,field_description",account.field_res_users_property_account_payable_id,Account Payable,,
account,model,"ir.model,name",account.model_account_print_journal,Account Print Journal,,
account,model,"ir.ui.view,arch_db",account.view_category_property_form,Account Properties,,
account,model,"ir.model.fields,field_description",account.field_res_partner_property_account_receivable_id,Account Receivable,,
account,model,"ir.model.fields,field_description",account.field_res_users_property_account_receivable_id,Account Receivable,,
account,model,"ir.model,name",account.model_account_financial_report,Account Report,,
account,model,"ir.model.fields,field_description",account.field_account_financial_report_children_ids,Account Report,,
account,model,"ir.ui.view,arch_db",account.view_account_financial_report_form,Account Report,,
account,model,"ir.ui.view,arch_db",account.view_account_financial_report_search,Account Report,,
account,model,"ir.ui.view,arch_db",account.view_account_financial_report_tree,Account Report,,
account,model,"ir.model.fields,field_description",account.field_accounting_report_account_report_id,Account Reports,,
account,model,"ir.ui.menu,name",account.menu_account_financial_reports_tree,Account Reports,,
account,model,"ir.ui.menu,name",account.menu_account_report_tree_hierarchy,Account Reports Hierarchy,,
account,model,"ir.ui.view,arch_db",account.view_account_report_tree_hierarchy,Account Reports Hierarchy,,
account,model,"ir.model.fields,field_description",account.field_account_fiscal_position_account_template_account_src_id,Account Source,,
account,model,"ir.ui.view,arch_db",account.account_bank_statement_graph,Account Statistics,,
account,model,"ir.ui.view,arch_db",account.account_bank_statement_pivot,Account Statistics,,
account,model,"ir.ui.view,arch_db",account.account_move_line_graph_date,Account Statistics,,
account,model,"ir.ui.view,arch_db",account.account_move_line_graph_date_cash_basis,Account Statistics,,
account,model,"ir.model,name",account.model_account_account_tag,Account Tag,,
account,model,"ir.ui.view,arch_db",account.view_tax_form,Account Tax,,
account,model,"ir.ui.view,arch_db",account.view_tax_tree,Account Tax,,
account,model,"ir.ui.view,arch_db",account.view_account_tax_template_form,Account Tax Template,,
account,model,"ir.ui.view,arch_db",account.view_account_tax_template_tree,Account Tax Template,,
account,model,"ir.ui.view,arch_db",account.view_account_chart_template_seacrh,Account Template,,
account,model,"ir.ui.view,arch_db",account.view_account_template_form,Account Template,,
account,model,"ir.ui.view,arch_db",account.view_account_template_search,Account Template,,
account,model,"ir.ui.view,arch_db",account.view_account_template_tree,Account Template,,
account,model,"ir.model.fields,field_description",account.field_account_chart_template_property_stock_valuation_account_id,Account Template for Stock Valuation,,
account,model,"ir.model.fields,field_description",account.field_res_company_property_stock_valuation_account_id,Account Template for Stock Valuation,,
account,model,"ir.actions.act_window,name",account.action_account_template_form,Account Templates,,
account,model,"ir.ui.view,arch_db",account.report_agedpartnerbalance,Account Total,,
account,selection,"account.financial.report,type",0,Account Type,,
account,model,"ir.model,name",account.model_account_account_type,Account Type,,
account,model,"ir.model.fields,field_description",account.field_account_account_type_name,Account Type,,
account,model,"ir.ui.view,arch_db",account.view_account_search,Account Type,,
account,model,"ir.ui.view,arch_db",account.view_account_template_search,Account Type,,
account,model,"ir.ui.view,arch_db",account.view_account_type_form,Account Type,,
account,model,"ir.ui.view,arch_db",account.view_account_type_search,Account Type,,
account,model,"ir.ui.view,arch_db",account.view_account_type_tree,Account Type,,
account,model,"ir.model.fields,help",account.field_account_account_user_type_id,"Account Type is used for information purpose, to generate country-specific legal reports, and set the rules to close a fiscal year and generate opening entries.",,
account,model,"ir.model.fields,help",account.field_account_move_line_user_type_id,"Account Type is used for information purpose, to generate country-specific legal reports, and set the rules to close a fiscal year and generate opening entries.",,
account,model,"ir.actions.act_window,name",account.action_account_type_form,Account Types,,
